name,categories,all_reviews,developer,publisher,day,year,price,popu_tags,url
Prince of Persia: The Two Thrones™,Single-player,709 76,Ubisoft Montreal,Ubisoft,341,2005,9.99,ActionAdventurePlatformerParkourThird PersonSingleplayerHack and SlashFantasyTime TravelTime ManipulationStory RichStealthClassicAtmosphericGreat Soundtrack,https://store.steampowered.com/app/13530/Prince_of_Persia_The_Two_Thrones/?snr=1_7_7_230_150_120
"Please, Don’t Touch Anything",Single-player,3133 87,Four Quarters,Forward Game Studios,85,2015,4.99,PuzzleIndiePixel GraphicsPoint & ClickSingleplayerIlluminatiMultiple EndingsGreat SoundtrackCasualDifficult2DHidden ObjectHorrorShortPsychological HorrorFunny,https://store.steampowered.com/app/354240/Please_Dont_Touch_Anything/?snr=1_7_7_230_150_120
Fallout New Vegas®: Lonesome Road™,"Single-player,Downloadable Content,Steam Cloud,Steam Leaderboards",633 91,Obsidian Entertainment,Bethesda Softworks,263,2011,4.99,ActionRPGPost-apocalyptic,https://store.steampowered.com/app/72760/Fallout_New_Vegas_Lonesome_Road/?snr=1_7_7_230_150_120
Iron Marines,"Single-player,Steam Cloud",742 82,Ironhide Game Studio,Ironhide Game Studio,135,2019,14.99,StrategyRTSIndieSpaceSci-fiSingleplayer2DCartoonyActionCasualComedyColorfulAliensMilitaryFantasyWarAdventureCartoonCombatFamily Friendly,https://store.steampowered.com/app/931280/Iron_Marines/?snr=1_7_7_230_150_121
BERSERK and the Band of the Hawk,"Single-player,Steam Cloud",1363 78,KOEI TECMO GAMES CO.,KOEI TECMO GAMES CO.,52,2017,59.99,AnimeActionHack and SlashDark FantasySexual ContentViolentGoreStory RichNuditySingleplayerMatureGreat SoundtrackHorrorCasualControllerThird PersonBloodAtmosphericFantasyCute,https://store.steampowered.com/app/502280/BERSERK_and_the_Band_of_the_Hawk/?snr=1_7_7_230_150_121
Hades' Star,"MMO,Online PvP,Online Co-op,Cross-Platform Multiplayer,In-App Purchases",1300 78,Parallel Space Inc,Parallel Space Inc,58,2019,0,Free to PlaySpaceStrategyMassively MultiplayerSci-fiOnline Co-OpMultiplayer4XRTSTacticalPvEPvPIndieCo-op2DAtmosphericGreat Soundtrack,https://store.steampowered.com/app/755800/Hades_Star/?snr=1_7_7_230_150_121
Tacoma,"Single-player,Steam Cloud",2107 87,Fullbright,Fullbright,213,2017,19.99,Walking SimulatorAdventureStory RichSci-fiIndieFemale ProtagonistSpaceFirst-PersonExplorationAtmosphericSingleplayerMysteryShortFuturisticLGBTQCyberpunkCasualGreat SoundtrackNarrativeIlluminati,https://store.steampowered.com/app/343860/Tacoma/?snr=1_7_7_230_150_121
LEGO® Batman™ 2: DC Super Heroes,Single-player,1360 90,TT Games,Warner Bros. Interactive Entertainment ,174,2012,19.99,LEGOActionAdventureOpen WorldSuperheroLocal Co-OpFamily FriendlyCo-opMultiplayerSingleplayerFunnyControllerSplit ScreenComedyCasualPuzzleLocal MultiplayerThird PersonComic Book,https://store.steampowered.com/app/213330/LEGO_Batman_2_DC_Super_Heroes/?snr=1_7_7_230_150_121
Axiom Verge,"Single-player,Steam Cloud,Steam Leaderboards",3498 93,Thomas Happ Games LLC,Thomas Happ Games LLC,134,2015,19.99,MetroidvaniaIndiePixel GraphicsPlatformerActionGreat SoundtrackAdventure2DSci-fiRetroExplorationSingleplayerAtmosphericCyberpunkDifficultSide ScrollerAliensHorrorShooterStory Rich,https://store.steampowered.com/app/332200/Axiom_Verge/?snr=1_7_7_230_150_121
QUAKE,"Single-player,Steam Cloud",3593 95,id Software,id Software,174,1996,4.99,FPSClassicActionShooterSingleplayerMultiplayer1990'sLovecraftianGoreFirst-PersonOld SchoolHorrorGreat SoundtrackRetroModdableSci-fiFast-PacedAtmosphericCompetitiveCo-op,https://store.steampowered.com/app/2310/QUAKE/?snr=1_7_7_230_150_121
Life is Feudal: Your Own,Stats,7884 65,Bitbox Ltd.,Bitbox Ltd.,321,2015,19.99,Open World Survival CraftMedievalOpen WorldSurvivalCraftingSandboxBuildingMultiplayerRPGSimulationCo-opMMORPGActionAdventureMassively MultiplayerIndieStrategyAtmosphericHistoricalSingleplayer,https://store.steampowered.com/app/290080/Life_is_Feudal_Your_Own/?snr=1_7_7_230_150_121
METAL SLUG,"Single-player,Online Co-op,Shared/Split Screen Co-op,Steam Leaderboards",1494 90,Dotemu,SNK CORPORATION,176,2015,7.99,ActionArcade2DClassicShoot 'Em UpRetroSide ScrollerCo-opLocal MultiplayerShooterPixel GraphicsMultiplayerFunnyPlatformerLocal Co-OpFast-PacedSingleplayerAdventureCartoonyGreat Soundtrack,https://store.steampowered.com/app/366250/METAL_SLUG/?snr=1_7_7_230_150_121
FINAL FANTASY V,"Single-player,Steam Cloud",925 75,Square Enix,Square Enix,267,2015,15.99,RPGJRPGClassicClass-BasedRemakeStory RichFantasy2DGreat SoundtrackTurn-Based CombatRetroCharacter CustomizationSingleplayer1990'sTurn-BasedAnimeAdventure,https://store.steampowered.com/app/382890/FINAL_FANTASY_V/?snr=1_7_7_230_150_121
Card Hunter,"Single-player,Cross-Platform Multiplayer,Captions available,Includes level editor",4300 86,Blue Manchu,Blue Manchu,194,2015,0,Free to PlayCard GameTabletopTactical RPGBoard GameStrategyTurn-BasedMultiplayerCo-opFantasySingleplayerRPGTurn-Based StrategyDungeon CrawlerTrading Card GameIndieComedyTacticalTurn-Based TacticsFunny,https://store.steampowered.com/app/293260/Card_Hunter/?snr=1_7_7_230_150_121
Hyperdimension Neptunia Re;Birth2: Sisters Generation,"Single-player,Steam Cloud",2433 92,"Idea Factory, Compile Heart, Felistella",Idea Factory,149,2015,14.99,AnimeJRPGRPGFemale ProtagonistCuteTurn-BasedStrategyComedySingleplayerFunnyGreat SoundtrackTurn-Based CombatStory RichVisual NovelAdventureMultiple EndingsNudityMemesFantasyAction,https://store.steampowered.com/app/351710/Hyperdimension_Neptunia_ReBirth2_Sisters_Generation/?snr=1_7_7_230_150_121
Everything,"Single-player,Captions available,Steam Cloud,Stats",2360 83,David OReilly,David OReilly,111,2017,14.99,SimulationCasualPhilosophicalIndieRelaxingSandboxRPGOpen WorldExplorationAtmosphericSingleplayerExperimentalGod GameFunnyGreat SoundtrackExperienceProcedural GenerationWalking SimulatorFamily FriendlyAdventure,https://store.steampowered.com/app/582270/Everything/?snr=1_7_7_230_150_121
Human Resource Machine,"Single-player,Steam Cloud",1902 94,Tomorrow Corporation,Tomorrow Corporation,288,2015,14.99,ProgrammingPuzzleIndieCasualEducationSimulationSingleplayerTouch-FriendlyAutomationComedyLogicGreat SoundtrackDifficultFunnySatireSandboxExperimental,https://store.steampowered.com/app/375820/Human_Resource_Machine/?snr=1_7_7_230_150_121
Castlevania: Lords of Shadow – Ultimate Edition,"Single-player,Steam Cloud",4407 79,"MercurySteam, Climax Studios",Konami Digital Entertainment,239,2013,29.99,ActionAdventureHack and SlashVampireSingleplayerFantasyGothicQuick-Time EventsThird PersonMedievalDark FantasyAtmosphericGreat SoundtrackStory RichAction-AdventureCharacter Action GameControllerSpectacle fighterNudityReboot,https://store.steampowered.com/app/234080/Castlevania_Lords_of_Shadow__Ultimate_Edition/?snr=1_7_7_230_150_121
